model,sweep,value,epoch,batch_size,embed_dim,hidden_size,learning_rate,dropout,train_loss,train_acc,dev_loss,dev_acc
BiLSTM,batch_size,8,3,8,128,128,0.001,0.3,0.183476,0.942000,0.419613,0.865000
BiLSTM,batch_size,16,1,16,128,128,0.001,0.3,0.999491,0.596000,0.618100,0.762500
BiLSTM,batch_size,16,2,16,128,128,0.001,0.3,0.398778,0.874000,0.437296,0.840000
BiLSTM,batch_size,16,3,16,128,128,0.001,0.3,0.248221,0.923000,0.489418,0.822500
BiLSTM,batch_size,32,1,32,128,128,0.001,0.3,1.165966,0.512000,0.782299,0.707500
BiLSTM,batch_size,32,2,32,128,128,0.001,0.3,0.501187,0.827500,0.489789,0.837500
BiLSTM,batch_size,32,3,32,128,128,0.001,0.3,0.275687,0.913500,0.490292,0.820000
BiLSTM,batch_size,64,1,64,128,128,0.001,0.3,1.297460,0.441000,1.158197,0.592500
BiLSTM,batch_size,64,2,64,128,128,0.001,0.3,0.822916,0.713000,0.625291,0.765000
BiLSTM,batch_size,64,3,64,128,128,0.001,0.3,0.433286,0.858500,0.499283,0.820000
BiLSTM,embedding_size,64,1,32,64,128,0.001,0.3,1.241463,0.458500,1.016665,0.597500
BiLSTM,embedding_size,64,2,32,64,128,0.001,0.3,0.732603,0.725000,0.714040,0.745000
BiLSTM,embedding_size,64,3,32,64,128,0.001,0.3,0.438307,0.847000,0.533853,0.822500
BiLSTM,embedding_size,128,1,32,128,128,0.001,0.3,1.165966,0.512000,0.782299,0.707500
BiLSTM,embedding_size,128,2,32,128,128,0.001,0.3,0.501187,0.827500,0.489789,0.837500
BiLSTM,embedding_size,128,3,32,128,128,0.001,0.3,0.275687,0.913500,0.490292,0.820000
BiLSTM,embedding_size,256,1,32,256,128,0.001,0.3,1.144288,0.532500,0.772488,0.670000
BiLSTM,embedding_size,256,2,32,256,128,0.001,0.3,0.443879,0.855500,0.441425,0.862500
BiLSTM,embedding_size,256,3,32,256,128,0.001,0.3,0.171904,0.951000,0.413245,0.860000
BiLSTM,hidden_size,64,1,32,128,64,0.001,0.3,1.300076,0.441000,1.153593,0.577500
BiLSTM,hidden_size,64,2,32,128,64,0.001,0.3,0.875540,0.711000,0.629537,0.782500
BiLSTM,hidden_size,64,3,32,128,64,0.001,0.3,0.418715,0.869000,0.466313,0.842500
BiLSTM,hidden_size,128,1,32,128,128,0.001,0.3,1.165966,0.512000,0.782299,0.707500
BiLSTM,hidden_size,128,2,32,128,128,0.001,0.3,0.501187,0.827500,0.489789,0.837500
BiLSTM,hidden_size,128,3,32,128,128,0.001,0.3,0.275687,0.913500,0.490292,0.820000
BiLSTM,hidden_size,256,1,32,128,256,0.001,0.3,1.022517,0.574500,0.635275,0.767500
BiLSTM,hidden_size,256,2,32,128,256,0.001,0.3,0.429858,0.848500,0.479403,0.827500
BiLSTM,hidden_size,256,3,32,128,256,0.001,0.3,0.246172,0.925500,0.482691,0.827500
BiLSTM,learning_rate,0.01,1,32,128,128,0.01,0.3,0.722793,0.719000,0.467479,0.842500
BiLSTM,learning_rate,0.01,2,32,128,128,0.01,0.3,0.198872,0.933500,0.417105,0.875000
BiLSTM,learning_rate,0.01,3,32,128,128,0.01,0.3,0.074353,0.977000,0.488620,0.860000
BiLSTM,learning_rate,0.005,1,32,128,128,0.005,0.3,0.796180,0.690000,0.524402,0.815000
BiLSTM,learning_rate,0.005,2,32,128,128,0.005,0.3,0.289408,0.901500,0.397707,0.882500
BiLSTM,learning_rate,0.005,3,32,128,128,0.005,0.3,0.149037,0.955000,0.591122,0.805000
BiLSTM,learning_rate,0.001,1,32,128,128,0.001,0.3,1.165966,0.512000,0.782299,0.707500
BiLSTM,learning_rate,0.001,2,32,128,128,0.001,0.3,0.501187,0.827500,0.489789,0.837500
