parameter,value,controlled_dropout,controlled_learning_rate,controlled_max_features,controlled_ngram_range,best_epoch,epochs_ran,stopped_early,best_val_accuracy,best_val_macro_f1,best_val_macro_precision,best_val_macro_recall,final_val_accuracy,final_val_macro_f1,final_val_macro_precision,final_val_macro_recall,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall
hidden_dims,[32],0.1,0.0001,2000,"(1, 2)",5,13,True,0.9758220502901354,0.9440857424050701,0.9517491749174918,0.9367767188563649,0.971953578336557,0.9368336791548613,0.9326354176228585,0.941150442477876,0.9758220502901354,0.9440857424050701,0.9517491749174918,0.9367767188563649
hidden_dims,[64],0.1,0.0001,2000,"(1, 2)",7,15,True,0.9787234042553191,0.9481491611962072,0.9840909090909091,0.9186776718856364,0.9748549323017408,0.9424300826587863,0.9453987306843268,0.9395166780122532,0.9787234042553191,0.9481491611962072,0.9840909090909091,0.9186776718856364
hidden_dims,[128],0.1,0.0001,2000,"(1, 2)",9,17,True,0.9748549323017408,0.9428097345132743,0.9428097345132743,0.9428097345132743,0.9729206963249516,0.9392091648189209,0.9336318407960199,0.9449965963240299,0.9748549323017408,0.9428097345132743,0.9428097345132743,0.9428097345132743
hidden_dims,"[128, 64]",0.1,0.0001,2000,"(1, 2)",5,13,True,0.9806576402321083,0.9532012346908294,0.9852320266501395,0.9263699795779441,0.9748549323017408,0.9431834512608523,0.9403178122690318,0.9461027910142954,0.9806576402321083,0.9532012346908294,0.9852320266501395,0.9263699795779441
