parameter,value,controlled_hidden_dims,controlled_dropout,controlled_learning_rate,controlled_max_features,controlled_ngram_range,best_epoch,epochs_ran,stopped_early,best_val_accuracy,best_val_macro_f1,best_val_macro_precision,best_val_macro_recall,final_val_accuracy,final_val_macro_f1,final_val_macro_precision,final_val_macro_recall,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall
max_features,1000,"[128, 64]",0.1,0.0001,2000,"(1, 2)",9,17,True,0.9758220502901354,0.944459603761707,0.9489751625589249,0.940069775357386,0.9729206963249516,0.9392091648189209,0.9336318407960199,0.9449965963240299,0.9758220502901354,0.944459603761707,0.9489751625589249,0.940069775357386
max_features,2000,"[128, 64]",0.1,0.0001,2000,"(1, 2)",5,13,True,0.9806576402321083,0.9532012346908294,0.9852320266501395,0.9263699795779441,0.9748549323017408,0.9431834512608523,0.9403178122690318,0.9461027910142954,0.9806576402321083,0.9532012346908294,0.9852320266501395,0.9263699795779441
max_features,5000,"[128, 64]",0.1,0.0001,2000,"(1, 2)",5,13,True,0.9816247582205029,0.9553811318012204,0.9897074756229686,0.926923076923077,0.9748549323017408,0.9428097345132743,0.9428097345132743,0.9428097345132743,0.9816247582205029,0.9553811318012204,0.9897074756229686,0.926923076923077
ngram_range,"(1, 1)","[128, 64]",0.1,0.0001,5000,"(1, 2)",25,33,True,0.9806576402321083,0.9557154481990664,0.9587731098233996,0.9527144315861129,0.9796905222437138,0.9533460671598338,0.957951714139371,0.9488682777399591,0.9806576402321083,0.9557154481990664,0.9587731098233996,0.9527144315861129
ngram_range,"(1, 2)","[128, 64]",0.1,0.0001,5000,"(1, 2)",5,13,True,0.9816247582205029,0.9553811318012204,0.9897074756229686,0.926923076923077,0.9748549323017408,0.9428097345132743,0.9428097345132743,0.9428097345132743,0.9816247582205029,0.9553811318012204,0.9897074756229686,0.926923076923077
ngram_range,"(1, 3)","[128, 64]",0.1,0.0001,5000,"(1, 2)",6,14,True,0.9796905222437138,0.9513831204451062,0.9771632682026778,0.9291099387338326,0.9729206963249516,0.9388129475116871,0.9359756097560976,0.9417035398230089,0.9796905222437138,0.9513831204451062,0.9771632682026778,0.9291099387338326
