parameter,value,controlled_hidden_dims,controlled_dropout,controlled_learning_rate,controlled_max_features,controlled_ngram_range,best_epoch,epochs_ran,stopped_early,best_val_accuracy,best_val_macro_f1,best_val_macro_precision,best_val_macro_recall,final_val_accuracy,final_val_macro_f1,final_val_macro_precision,final_val_macro_recall,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall
learning_rate,0.1,"[128, 64]",0.3,0.001,2000,"(1, 2)",18,26,True,0.97678916827853,0.9468585378388796,0.9498568570640177,0.9439159292035398,0.9777562862669246,0.9467529414398782,0.9722713724748072,0.9247106875425459,0.97678916827853,0.9468585378388796,0.9498568570640177,0.9439159292035398
learning_rate,0.01,"[128, 64]",0.3,0.001,2000,"(1, 2)",7,15,True,0.9777562862669246,0.9478541530082203,0.9623120581499551,0.9345898570456093,0.9729206963249516,0.9380016274786929,0.9409406043046358,0.9351174268209665,0.9777562862669246,0.9478541530082203,0.9623120581499551,0.9345898570456093
learning_rate,0.001,"[128, 64]",0.3,0.001,2000,"(1, 2)",10,18,True,0.9738878143133463,0.9400163720626435,0.9444868867687018,0.9356705241660994,0.965183752417795,0.9223419258468035,0.9144422245512904,0.9306926480599047,0.9738878143133463,0.9400163720626435,0.9444868867687018,0.9356705241660994
learning_rate,0.0001,"[128, 64]",0.3,0.001,2000,"(1, 2)",6,14,True,0.9796905222437138,0.9510366987992558,0.980835567342154,0.9258168822328114,0.9748549323017408,0.9431834512608523,0.9403178122690318,0.9461027910142954,0.9796905222437138,0.9510366987992558,0.980835567342154,0.9258168822328114
dropout,0.1,"[128, 64]",0.3,0.0001,2000,"(1, 2)",5,13,True,0.9806576402321083,0.9532012346908294,0.9852320266501395,0.9263699795779441,0.9748549323017408,0.9431834512608523,0.9403178122690318,0.9461027910142954,0.9806576402321083,0.9532012346908294,0.9852320266501395,0.9263699795779441
dropout,0.3,"[128, 64]",0.3,0.0001,2000,"(1, 2)",6,14,True,0.9796905222437138,0.9510366987992558,0.980835567342154,0.9258168822328114,0.9748549323017408,0.9431834512608523,0.9403178122690318,0.9461027910142954,0.9796905222437138,0.9510366987992558,0.980835567342154,0.9258168822328114
dropout,0.5,"[128, 64]",0.3,0.0001,2000,"(1, 2)",8,16,True,0.9787234042553191,0.9488873310324992,0.9765160183066361,0.9252637848876787,0.9748549323017408,0.9431834512608523,0.9403178122690318,0.9461027910142954,0.9787234042553191,0.9488873310324992,0.9765160183066361,0.9252637848876787
