checkpoint,model,label_precision,label_recall,label_f1,entity_precision,entity_recall,entity_f1,entity_support,NAME_f1,ORG_f1,TITLE_f1
lstm.pkl,BiLSTM,0.9588696305747941,0.9590066225165563,0.9586986837990195,0.955639097744361,0.8844815588030619,0.918684495793949,1437,0.8985507245880184,0.9071969696470819,0.9295212765457801
bilstm+CRF+w2v.pkl,BiLSTM+CRF+w2v,0.9567825196062659,0.9568211920529801,0.9566689170463278,0.9369175627240144,0.9095337508698678,0.9230225988200675,1437,0.9333333332835555,0.9092575618198535,0.9314173742151898
cnn.pkl,CNN,0.9418389401670154,0.9418543046357616,0.9418072215990888,0.9272997032640949,0.8698677800974252,0.8976660681726722,1437,0.990990990940995,0.8664122136906112,0.9056105610061239
cnn+CRF.pkl,CNN+CRF,0.9388943970649529,0.9388741721854305,0.9388281350679615,0.9382994732881866,0.8677800974251914,0.901663051287748,1437,0.9493087557104206,0.8519230768732783,0.929092113932797
cnn+CRF+w2v.pkl,CNN+CRF+w2v,0.9362689964974051,0.936158940397351,0.9361257737269402,0.9386973180076629,0.8524704244954767,0.8935083879880444,1437,0.9282296650220279,0.8436293435795719,0.9231796926688202
